Name of Organisation,Objective,Services,SDG(s),Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,,,Target Group,Can individuals contact them?,,Phone Number,Email,Web Address,Address,Region,Notes
Action Pour les Droits Humains et l'Amité,"Promote the essential human rights of asylum seekers, refugees and the youth of Africa","advice, assistance, advocacy","(16) Justice / Institutions, (10) Inequalities, (11) Sustainable Communities",assistance of refugees and asylum seekers toward enjoying their fondamental rights,Family reunification,,,,,,,,,"Refugees, asylum seekers",TRUE,,77 301 14 98 / 76 393 67 99,actiondha@gmail.com,actiondha.webs.com,"Address: Amitié II Sicap Rue 10 Villa n° 1040 Rez-de-chaussé Dakar, Sénégal",Dakar,
ALEFS (Avec les enfants et les femmes du Sénégal),Help and support to children and women,"Education, Healthcare, psychosocial assistance, entrepreneurship","(4) Education, (3) Health, (8) Work / Economic Growth, (5) Gender Equality, (10) Inequalities, (11) Sustainable Communities",Sool support/ Education training,support and assistance to vulnerable girls and women,entrepreneurship of girls and woman,advocacy for women and children's rights,assistance to victims of any exploitation and abus,,,,,,"Talibés, other young vulenrable boys and girls, women",TRUE,,33 957 18 46,alefsmissions@gmail.com,http://alefs.fr/,ALEFS Cité des Enfants Saly Niakh-Niakhal,Mbour,
Unies vers’elle,Help and assistance to children and women,"Shelter, healthcare, social reintegration, mediation","(1) No Poverty, (3) Health, (4) Education, (5) Gender Equality, (8) Work / Economic Growth, (11) Sustainable Communities, (10) Inequalities",Hosting victimes of abus or domestic violence,Healthcare and nutrition,Education/schooling,advocacy for women and children's rights,Psychosocial assistance/ Mental health,,,,,,"Victims of abuse, vulnerable women and children, people looking for shelter or mental health support",TRUE,,33 835 45 35 / 77 332 34 78,contacts@uve-senegal.com,http://www.uniesverselle.org/,"Ancien Tribunal Départemental Boite Postale 19920
15000 GUEDIAWAYE Sénégal",Dakar,
Keur talibé,Helping children begging and living on the street,"Food security, renovation and construction of daraas (coranic scool), sensitization","(2) No Hunger, (3) Health, (4) Education, (1) No Poverty, (11) Sustainable Communities, (10) Inequalities",Human trafficking,"begging children
 
 childre living in bad condition",,,,,,,,,"Talibés, street kids ",TRUE,,779077524,keurtalibendar@gmail.com,www.keurtalibendar.org ,,Saint-Louis,
Empire des enfants,Help and assistance to vulnerable chlidren,"Shelter, healthcare, legal advice and protection, psychosocial assistance, Education","(3) Health, (4) Education, (2) No Hunger, (1) No Poverty, (16) Justice / Institutions, (10) Inequalities, (11) Sustainable Communities",Human trafficking,Schooling/Education of vulnerable people,Mental health,Advocacy ,,,,,,,Vulnerable children,TRUE,,775077991,alou.empire@gmail.com,Empire Des Enfants – Centre d'accueil d'urgence pour enfants,,Dakar,
ACTED,"Ending poverty, reinforcing NGO and Associations","Climate change, food and nutritional security, social integration","(13) Climate, (2) No Hunger, (1) No Poverty, (12) Responsible Consumption / Production, (11) Sustainable Communities",zero poverty (reorientation and rebalancing resources),Zero stigma/exclusion (social mediation and integration),Zero-carbon ( respect for nature and balanced use of natural resources),,,,,,,,Poor people and communities,FALSE,,,,www.acted.org ,,Dakar,
Action Contre la Faim,Global response to food  and nutritional crisis,"Health care to vulnerable people

Water access for every community

Food and nutritional security

Researches and advocacy","(1) No Poverty, (2) No Hunger, (3) Health, (6) Water/Sanitation, (11) Sustainable Communities, (8) Work / Economic Growth",Access to water / sanitization,Healthcare / Hygiene,Food security / nutrition,youth job facilitation,advocacy,mental health,gender and protection,climate change,,,"Vulnerable people and communities in need of healthcare, job facilitation, or food security",TRUE,,33 820 05 09,mdiop@wa.acfspain.org,www.actioncontrelafaim.org ,Ngor almadies N°13 Bis Rue NG 96,Dakar / Yoff,
Solidarité pour les enfants des rues ,Help to children living on the street,"Shelter, Education, Healthcare, capacity building","(2) No Hunger, (3) Health, (4) Education, (8) Work / Economic Growth, (10) Inequalities",Hosting children begging and living on the street,Schooling,,,,,,,,,Children,TRUE,,33 868 70 97 / 77 562 48 95,centreaccueilsper2006@gmail.com,www.solidariteenfantsdesrues.wordpress.com,"HLM Patte d’Oie Villa N° 199

",Dakar,
AMOHS Association du mouvement humaniste de saint-louis,Protection of vulnerable youth and children,"Education, psychossocial support, Healthcare, mediation, social reintegration","(3) Health, (2) No Hunger, (4) Education, (10) Inequalities",healthcare,Scoling/Education for vulnerable children,Food security,Children begging and living on the street,protection of the disabled,sex education/sexual sensitization of youth,,,,,Youth ,TRUE,,77 919 26 20,amohs150@gmail.com ,,"Saint-louis, Médina Course",Saint-Louis,
Maison de la Gare,Help and assistance to vulnerable people especially children begging and living on the street,"Shelter, Education, Healthcare, professionnal training, spycho-social assistance, legal advise ","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (6) Water/Sanitation, (8) Work / Economic Growth, (10) Inequalities, (12) Responsible Consumption / Production, (16) Justice / Institutions, (17) Partnerships","- Victims of economical explotation  

-Victims of begging 




",Hosting Vulnerable chlidren,Fight against chronical deseases,Schooling/ Education for every child without any for of discrimation,"Job creation through 
professionnal trading",credit facilitation without any interest ,Human trafficking,Mental health,,,"Children
Youth
Vulnerable persons",TRUE,,33 961 30 39 / 77 534 06 60,infos@mdgsl.com ,www.mdgsl.com ,"Saint-louis, Balacoss",Saint-Louis,
Association des juristes sénégalaises,Help vulnerable people specially children and women,"legal advice and assistance, healthcare, sensitization, ","(5) Gender Equality, (3) Health, (16) Justice / Institutions, (8) Work / Economic Growth, (17) Partnerships",gender based violence,advocacy and sensitization on women and children's rights,Legal information help and assistance espacially on women rights,,,,,,,,"Women, children, and other vulnerable people",TRUE,,33 867 34 45 / 77 503 42 64,femjursen@hotmail.fr,www.femmesjuristes.org ,Sud-Foire Cité Sonatel I en face Samu Municipal,Dakar,
ONG Concept,"Support promising sectors, notably those of the social and solidarity economy, sustainable rural development, agri-food and handicrafts (the heart of activities in our very poorly industrialized cities), the promotion of responsible, trained and informed governance and citizenship, the popularization of renewable energies and ICT and their innovative and shared uses.","Education, psychossocial support, professional trading, Healthcare","(1) No Poverty, (2) No Hunger, (3) Health, (4) Education, (5) Gender Equality, (7) Clean Energy, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities, (17) Partnerships","technical training (formal, non-formal and combined offer)","Promotion of emerging trades and innovative practices (biogas, renewable energy, agri-food, ICT, social and solidarity economy, fair trade, business incubation)","Childhood (basic education, child rights and protection), economic integration of youth",Capacity building and consulting support for development actors,Microfinance and entrepreneurship,,,,,,"Children
Youth
Young adults
Vulnerable Persons
Families",TRUE,,33 835 45 27 / 33 835 45 36,concept@orangesn,www.ongconcept.sn ,Unité 11 Parcelles Assainies villa N378,Dakar,
Action femme Enfant (AFE),Help and assistance to vulnerable women and girls,"Shelter, Scool, Healthcare, professionnal support, psychosocial assistance","(3) Health, (4) Education, (2) No Hunger, (1) No Poverty, (5) Gender Equality, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities","- Victims of domestic violence

- Victims of sexual explotation




",Scooling/Education of children from vulnerable families,Hosting women pregnant woman/Girls,"Maternal health , ",Job creation for vulnerable women,Scooling/ maintaining girls at scool,,,,,"Children, 
Young unmarried mothers
Women ",TRUE,,33 8354527 / 33 835 45 36 / 77 636 07 79,afepikine@hotmail.com,afepikine.wixsite.com/aafe,"Pikine/ Angle Tall, près de chez Rawane Ndiaye",Saint-Louis,
Village Pilote,Help and assistance to vulnerable children and youth,"Shelter, healthcare, Scool, professionnal trading, psychosocial assistance, job création ","(4) Education, (3) Health, (1) No Poverty, (2) No Hunger, (7) Clean Energy, (10) Inequalities, (9) Industry / Innovation / Infrastructure, (11) Sustainable Communities, (16) Justice / Institutions, (17) Partnerships",- Youth and children living on street,"Youth and children using drug, weed and cocaine",human trafficking,Professional trading ,Job creation/ Professionnal insertion,,,,,,"Children
Youth
Drug addicts",TRUE,,776930365,loic.treguy@villagepilote.org,www.villagepilote.org,Dakar Gorom 2,Dakar,
ENDA Tiers Monde,Improve sustanaible development especially in poor countries,,,,,,,,,,,,,,FALSE,,33 869 99 61 / 33 869 99 48,se@endatiersmonde.org,endatiersmonde.org/,"Avenue Cheikh Anta Diop X Canal IV, Complexe SICAP Point E Bâtiment B, 1er étage",Dakar,
ENDA Jeunesse Action,"Education, Health, Safety & Security ",Mobilise families and communities ,"(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (10) Inequalities, (11) Sustainable Communities, (8) Work / Economic Growth",Education support,Early migration of children / unaccompanied migrant children,Sexual and reproductive rights,Economic integration of youth,"citizenship registration,",Healthcare,Daycare,reintegrating children from broken families,Advocacy for needs of vulnerable children,Community mobilisation,"Children
Youth",TRUE,,33 837 42 88,,https://www.facebook.com/endajeunesseaction/,"9, Darou Salam, Sam Notaire,
3370 Dakar Guédiawaye",Dakar,
World Vision,"Partner with children, families, and their communities to reach their full potential by tackling the causes of poverty and injustice.","Awareness campains with families around child protection, equipment relative to their needs

Community programs, as well as other interventions for vulnerable children, strengthening the ability of children to protect themselves why kids’ clubs","(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (5) Gender Equality, (8) Work / Economic Growth, (10) Inequalities, (11) Sustainable Communities",Child protection & participation,Education and Lifeskills,Health / Hygiene,Nutrition,Livelihoods and resilience,Water / Sanitation,Family support,,,,"Children
Families",TRUE,,33 865 17 17 ,worldvision_senegal@wvi.org ,https://www.wvi.org/senegal,"Sacré coeur 3 VDN Villa 145 M/S, Malick Sy, BP27086 Dakar",Dakar,
Samu Social Sénégal,Improve children's living conditions,"Shelter, food, Education, Healthcare, family reintegration, capacity building, researches and advocacy","(2) No Hunger, (1) No Poverty, (3) Health, (4) Education, (10) Inequalities, (11) Sustainable Communities, (16) Justice / Institutions, (17) Partnerships",Child protection & participation,Food and nutritional security ,Health / Hygiene for children begging and living on the street,Psychological support/mental health,Advocacy and researches regarding children's rights,Capacity building regarding children's rights,,,,,"Childrens
Women
",TRUE,,,,,,,
RAO (Réseau Afrique de l’Ouest pour la protection des enfants),Improve the child protection system of west african countries for a sustanaible reintegration and stabilization of children,"Reintegration of children through the west african area

Capacity building and reinforcement for goverments and development actors

Facilitate connexion between actors and communities","(10) Inequalities, (16) Justice / Institutions, (17) Partnerships",Reintegration of children ,Connexion between public and private organizations,Capacity building regarding child protection procedures,,,,,,,,"ONGs and associations

Publics organizations

Goverments

Communities/Family 
",FALSE,,,,,,,
COSAED (Collectif des Structures d'Appui aux Enfants en Difficulté),COSAED is a structured network of associations. Each of these associations has its own autonomy of thought and action. The network's mission is to encourage synergy between its member associations. It also participates in the promotion and protection of the rights of the child in accordance with the orientations defined in the various texts governing the Convention on the Rights of the Child and the African Charter on the Rights and Welfare of the Child.,"Support for the protection of minors and children's rights in Senegal

Raising awareness of children's rights in civil society and public services, through advocacy activities in Senegal, at the regional and national levels",,,,,,,,,,,,Vulnerable kids,FALSE,,,siakacoulibaly91@gmail.com,,"cité ADE RufisqueSicap Mbao villa n° 11
Rufisque, Dakar Region
Senegal",,
